"","each_day_US"
"11/20/20",11970671
"11/21/20",12151836
"11/22/20",12297890
"11/23/20",12481006
"11/24/20",12653649
"11/25/20",12833846
"11/26/20",12950448
"11/27/20",13164051
"11/28/20",13334381
"11/29/20",13472393
"11/30/20",13629786
"12/1/20",13825775
"12/2/20",14022901
"12/3/20",14242500
"12/4/20",14477172
"12/5/20",14701106
"12/6/20",14879399
"12/7/20",15075967
"12/8/20",15300487
"12/9/20",15521126
"12/10/20",15755277
"12/11/20",15995735
"12/12/20",16218198
"12/13/20",16410044
"12/14/20",16622098
"12/15/20",16845297
"12/16/20",17082106
"12/17/20",17321088
"12/18/20",17571587
"12/19/20",17770381
"12/20/20",17963802
"12/21/20",18164727
"12/22/20",18368176
"12/23/20",18590696
"12/24/20",18802224
"12/25/20",18922929
"12/26/20",19149917
"12/27/20",19285693
"12/28/20",19459318
"12/29/20",19661911
"12/30/20",19881822
"12/31/20",20193844
"1/1/21",20366233
"1/2/21",20648628
"1/3/21",20852645
"1/4/21",21038176
"1/5/21",21268006
"1/6/21",21528234
"1/7/21",21816108
"1/8/21",22120609
"1/9/21",22384057
"1/10/21",22597003
"1/11/21",22800639
"1/12/21",23021129
"1/13/21",23250922
"1/14/21",23485383
"1/15/21",23733310
"1/16/21",23948854
"1/17/21",24127393
"1/18/21",24268975
"1/19/21",24423459
"1/20/21",24611999
"1/21/21",24803355
"1/22/21",24996602
"1/23/21",25174444
"1/24/21",25315882
"1/25/21",25445308
"1/26/21",25595158
"1/27/21",25751300
"1/28/21",25915902
"1/29/21",26082900
"1/30/21",26232617
"1/31/21",26346448
"2/1/21",26471336
"2/2/21",26589189
"2/3/21",26712064
"2/4/21",26837375
"2/5/21",26968941
"2/6/21",27085284
"2/7/21",27175763
"2/8/21",27258535
"2/9/21",27352702
"2/10/21",27448694
"2/11/21",27554705
"2/12/21",27655629
"2/13/21",27746548
"2/14/21",27814950
"2/15/21",27870684
"2/16/21",27929709
"2/17/21",27998383
"2/18/21",28070560
"2/19/21",28146079
"2/20/21",28219862
"2/21/21",28275396
"2/22/21",28330740
"2/23/21",28403974
"2/24/21",28478742
"2/25/21",28556345
"2/26/21",28632236
"2/27/21",28703492
"2/28/21",28755521
"3/1/21",28806051
"3/2/21",28863561
"3/3/21",28930905
"3/4/21",28999789
"3/5/21",29067916
"3/6/21",29129062
"3/7/21",29171209
"3/8/21",29214590
"3/9/21",29270080
"3/10/21",29327608
"3/11/21",29389542
"3/12/21",29452600
"3/13/21",29508000
"3/14/21",29546626
"3/15/21",29599781
"3/16/21",29653277
"3/17/21",29713327
"3/18/21",29774970
"3/19/21",29836680
"3/20/21",29894839
"3/21/21",29929462
"3/22/21",29978535
"3/23/21",30031706
"3/24/21",30119181
"3/25/21",30187198
"3/26/21",30263390
"3/27/21",30326738
"3/28/21",30372237
"3/29/21",30439636
"3/30/21",30501005
"3/31/21",30569989
"4/1/21",30647409
"4/2/21",30720410
"4/3/21",30784457
"4/4/21",30821812
"4/5/21",30891242
"4/6/21",30953791
"4/7/21",31029478
"4/8/21",31109939
"4/9/21",31194387
"4/10/21",31264214
"4/11/21",31311001
"4/12/21",31374617
"4/13/21",31455844
"4/14/21",31530872
"4/15/21",31604995
"4/16/21",31685672
"4/17/21",31740542
"4/18/21",31783821
"4/19/21",31846712
"4/20/21",31908847
"4/21/21",31973098
"4/22/21",32039999
"4/23/21",32103190
"4/24/21",32157479
"4/25/21",32191620
"4/26/21",32234753
"4/27/21",32287106
"4/28/21",32342250
"4/29/21",32401116
"4/30/21",32459119
"5/1/21",32507383
"5/2/21",32537452
"5/3/21",32583325
"5/4/21",32625891
"5/5/21",32671670
"5/6/21",32718271
"5/7/21",32766450
"5/8/21",32801607
"5/9/21",32824098
"5/10/21",32857289
"5/11/21",32892493
"5/12/21",32928414
"5/13/21",32967302
"5/14/21",33009348
"5/15/21",33039746
"5/16/21",33057177
"5/17/21",33082998
"5/18/21",33111782
"5/19/21",33141284
"5/20/21",33171383
"5/21/21",33200073
"5/22/21",33221018
"5/23/21",33234548
"5/24/21",33256804
"5/25/21",33281329
"5/26/21",33305848
"5/27/21",33332685
"5/28/21",33354915
"5/29/21",33368064
"5/30/21",33375250
"5/31/21",33381328
"6/1/21",33402307
"6/2/21",33419005
"6/3/21",33437375
"6/4/21",33455183
"6/5/21",33470629
"6/6/21",33476550
"6/7/21",33490709
"6/8/21",33503653
"6/9/21",33522195
"6/10/21",33537123
"6/11/21",33562123
"6/12/21",33571164
"6/13/21",33576349
"6/14/21",33587891
"6/15/21",33598757
"6/16/21",33610630
"6/17/21",33622227
"6/18/21",33643509
"6/19/21",33652442
"6/20/21",33657281
"6/21/21",33667946
"6/22/21",33678628
"6/23/21",33691248
"6/24/21",33705563
"6/25/21",33729952
"6/26/21",33739268
"6/27/21",33743792
"6/28/21",33757447
"6/29/21",33764457
"6/30/21",33779639
"7/1/21",33794648
"7/2/21",33824340
"7/3/21",33829490
"7/4/21",33833588
"7/5/21",33842303
"7/6/21",33865057
"7/7/21",33885145
"7/8/21",33905929
"7/9/21",33953510
"7/10/21",33963240
"7/11/21",33974764
"7/12/21",34004786
"7/13/21",34031105
"7/14/21",34062332
"7/15/21",34094095
"7/16/21",34171426
"7/17/21",34184922
"7/18/21",34205515
"7/19/21",34255298
"7/20/21",34294685
"7/21/21",34342280
"7/22/21",34398669
"7/23/21",34519437
"7/24/21",34546937
"7/25/21",34574034
"7/26/21",34654866
"7/27/21",34719690
"7/28/21",34792835
"7/29/21",34865664
"7/30/21",35056244
"7/31/21",35098159
"8/1/21",35141047
"8/2/21",35253461
"8/3/21",35350193
"8/4/21",35453178
"8/5/21",35562286
"8/6/21",35813596
"8/7/21",35874075
"8/8/21",35906804
"8/9/21",36072270
"8/10/21",36189496
"8/11/21",36342510
"8/12/21",36487490
"8/13/21",36713471
"8/14/21",36781735
"8/15/21",36825789
"8/16/21",37029632
"8/17/21",37178486
"8/18/21",37345082
"8/19/21",37499499
"8/20/21",37739533
"8/21/21",37822049
"8/22/21",37862224
"8/23/21",38085314
"8/24/21",38240417
"8/25/21",38412880
"8/26/21",38600571
"8/27/21",38839058
"8/28/21",38911956
"8/29/21",38957580
"8/30/21",39197125
"8/31/21",39377405
