"","country","day","international_departures","international_arrivals","United Kingdom","UK"
"584","United Kingdom",2021-08-30,1023,1037,6789189,26285
"585","United Kingdom",2021-08-31,932,954,6821356,32167
"586","United Kingdom",2021-09-01,1014,994,6856933,35577
"587","United Kingdom",2021-09-02,945,965,6894915,37982
"588","United Kingdom",2021-09-03,1035,1021,6937270,42355
"589","United Kingdom",2021-09-05,1045,1051,7010540,73270
"590","United Kingdom",2021-09-06,1044,1046,7051516,40976
"591","United Kingdom",2021-09-07,906,930,7089051,37535
"592","United Kingdom",2021-09-08,1001,973,7127630,38579
"593","United Kingdom",2021-09-09,1052,1011,7165200,37570
"594","United Kingdom",2021-09-10,1123,1131,7202212,37012
"595","United Kingdom",2021-09-11,1008,1029,7231111,28899
"596","United Kingdom",2021-09-12,1123,1133,7259752,28641
"597","United Kingdom",2021-09-13,1102,1142,7290168,30416
"598","United Kingdom",2021-09-14,912,917,7316931,26763
"599","United Kingdom",2021-09-15,994,988,7346832,29901
"600","United Kingdom",2021-09-16,1004,984,7373451,26619
"601","United Kingdom",2021-09-17,1196,1184,7406017,32566
"602","United Kingdom",2021-09-18,1050,986,7435493,29476
"603","United Kingdom",2021-09-19,1147,1175,7464791,29298
"604","United Kingdom",2021-09-20,1139,1105,7500734,35943
"605","United Kingdom",2021-09-21,891,867,7531922,31188
"606","United Kingdom",2021-09-22,994,962,7565751,33829
"607","United Kingdom",2021-09-23,1007,1038,7601598,35847
"608","United Kingdom",2021-09-24,1160,1126,7637314,35716
"609","United Kingdom",2021-09-25,1040,989,7667290,29976
"610","United Kingdom",2021-09-26,1120,1113,7700358,33068
"611","United Kingdom",2021-09-27,1117,1073,7737941,37583
"612","United Kingdom",2021-09-28,898,852,7772788,34847
"613","United Kingdom",2021-09-30,978,936,7843887,71099
"614","United Kingdom",2021-10-01,1226,1199,7878571,34684
"615","United Kingdom",2021-10-02,1037,965,7908091,29520
"616","United Kingdom",2021-10-03,1142,1091,7937810,29719
"617","United Kingdom",2021-10-04,1153,1118,7972312,34502
"618","United Kingdom",2021-10-05,913,880,8005502,33190
"619","United Kingdom",2021-10-06,953,978,8044424,38922
"620","United Kingdom",2021-10-07,1047,1007,8084322,39898
"621","United Kingdom",2021-10-08,1259,1167,8119442,35120
"622","United Kingdom",2021-10-09,613,554,8158935,39493
"623","United Kingdom",2021-10-10,682,582,8192589,33654
"624","United Kingdom",2021-10-11,903,785,8232327,39738
"625","United Kingdom",2021-10-12,948,927,8270182,37855
"626","United Kingdom",2021-10-13,996,992,8311851,41669
"627","United Kingdom",2021-10-14,1046,1016,8356596,44745
"628","United Kingdom",2021-10-15,1216,1221,8400983,44387
"629","United Kingdom",2021-10-16,1089,1019,8443882,42899
"630","United Kingdom",2021-10-17,1148,1145,8488685,44803
"631","United Kingdom",2021-10-18,1127,1116,8537650,48965
"632","United Kingdom",2021-10-19,904,936,8581278,43628
"633","United Kingdom",2021-10-20,1007,1046,8630076,48798
"634","United Kingdom",2021-10-21,1081,1050,8681795,51719
"635","United Kingdom",2021-10-22,1268,1197,8730787,48992
"636","United Kingdom",2021-10-23,1060,1014,8775889,45102
"637","United Kingdom",2021-10-24,1152,1145,8814735,38846
"638","United Kingdom",2021-10-25,1106,1133,8851104,36369
"639","United Kingdom",2021-10-26,906,928,8894843,43739
"640","United Kingdom",2021-10-27,1005,1019,8938965,44122
"641","United Kingdom",2021-10-28,1036,1089,8978443,39478
"642","United Kingdom",2021-10-29,1224,1243,9021701,43258
"643","United Kingdom",2021-10-30,1066,1103,9062710,41009
"644","United Kingdom",2021-10-31,1197,1288,9100442,37732
"645","United Kingdom",2021-11-01,1188,1180,9140441,39999
"646","United Kingdom",2021-11-02,965,935,9174153,33712
"647","United Kingdom",2021-11-03,981,926,9215683,41530
"648","United Kingdom",2021-11-04,1058,1005,9252646,36963
"649","United Kingdom",2021-11-05,1232,1180,9286618,33972
"650","United Kingdom",2021-11-06,940,897,9317072,30454
"651","United Kingdom",2021-11-07,1136,1132,9346961,29889
"652","United Kingdom",2021-11-08,1082,1085,9379286,32325
"653","United Kingdom",2021-11-09,920,901,9412185,32899
"654","United Kingdom",2021-11-10,919,926,9451884,39699
"655","United Kingdom",2021-11-11,999,1022,9495395,43511
"656","United Kingdom",2021-11-12,1178,1177,9534544,39149
"657","United Kingdom",2021-11-13,810,832,9572351,37807
"658","United Kingdom",2021-11-14,1127,1131,9608568,36217
"659","United Kingdom",2021-11-15,1081,1113,9649233,40665
"660","United Kingdom",2021-11-16,940,929,9686363,37130
"661","United Kingdom",2021-11-17,953,927,9724617,38254
"662","United Kingdom",2021-11-18,1001,998,9772670,48053
"663","United Kingdom",2021-11-19,1195,1189,9817505,44835
"664","United Kingdom",2021-11-20,886,869,9857658,40153
"665","United Kingdom",2021-11-21,1089,1075,9897206,39548
"666","United Kingdom",2021-11-22,1081,1074,9942859,45653
"667","United Kingdom",2021-11-24,837,837,10028829,85970
"668","United Kingdom",2021-11-25,1005,1012,10076116,47287
"669","United Kingdom",2021-11-26,1150,1131,10125945,49829
"670","United Kingdom",2021-11-27,836,820,10165779,39834
"671","United Kingdom",2021-11-28,1067,1034,10202370,36591
"672","United Kingdom",2021-11-29,1115,1103,10245244,42874
"673","United Kingdom",2021-11-30,855,793,10285745,40501
"674","United Kingdom",2021-12-01,885,893,10333672,47927
"675","United Kingdom",2021-12-02,983,971,10387200,53528
"676","United Kingdom",2021-12-03,1140,1126,10438381,51181
"677","United Kingdom",2021-12-04,912,871,10479955,41574
"678","United Kingdom",2021-12-05,1059,1029,10523316,43361
"679","United Kingdom",2021-12-06,1055,1057,10575062,51746
"680","United Kingdom",2021-12-07,857,823,10620535,45473
"681","United Kingdom",2021-12-08,924,918,10671538,51003
"682","United Kingdom",2021-12-09,998,987,10722083,50545
"683","United Kingdom",2021-12-10,1232,1224,10780610,58527
"684","United Kingdom",2021-12-11,980,965,10833033,52423
"685","United Kingdom",2021-12-12,1146,1121,10881189,48156
"686","United Kingdom",2021-12-13,1140,1132,10935244,54055
"687","United Kingdom",2021-12-14,987,964,10995311,60067
"688","United Kingdom",2021-12-15,1033,1030,11073455,78144
"689","United Kingdom",2021-12-16,1157,1147,11161497,88042
"690","United Kingdom",2021-12-17,1427,1415,11254404,92907
"691","United Kingdom",2021-12-18,1166,1143,11343594,89190
"692","United Kingdom",2021-12-19,1257,1241,11425657,82063
"693","United Kingdom",2021-12-20,1243,1259,11518255,92598
"694","United Kingdom",2021-12-21,1076,1086,11607864,89609
"695","United Kingdom",2021-12-22,1141,1105,11713654,105790
"696","United Kingdom",2021-12-23,1172,1174,11836909,123255
"697","United Kingdom",2021-12-24,923,924,11958841,121932
"698","United Kingdom",2021-12-25,348,346,12080789,121948
"699","United Kingdom",2021-12-26,1089,1017,12199734,118945
"700","United Kingdom",2021-12-27,1132,1117,12307620,107886
"701","United Kingdom",2021-12-28,990,968,12445843,138223
"702","United Kingdom",2021-12-29,1031,995,12630442,184599
"703","United Kingdom",2021-12-30,1051,1062,12820685,190243
"704","United Kingdom",2021-12-31,950,942,13011556,190871
