Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,89.550003,95.010002,87.059998,94.370003,94.370003,0
2019-01-08,95.300003,98.220001,93.879997,97.250000,97.250000,0
2019-01-15,97.400002,101.339996,96.570000,100.820000,100.820000,0
2019-01-22,101.070000,102.480003,98.080002,102.480003,102.480003,0
2019-01-29,102.930000,105.029999,101.379997,104.919998,104.919998,0
2019-02-05,105.199997,105.830002,103.629997,105.449997,105.449997,0
2019-02-12,105.879997,106.370003,103.639999,104.870003,104.870003,0
2019-02-19,104.660004,106.260002,103.410004,105.690002,105.690002,0
2019-02-26,106.160004,106.779999,99.949997,100.550003,100.550003,0
2019-03-05,101.160004,101.230003,96.309998,98.370003,98.370003,0
2019-03-12,98.370003,100.699997,96.910004,98.180000,98.180000,0
2019-03-19,98.320000,99.379997,93.690002,93.750000,93.750000,0
2019-03-26,94.160004,99.150002,93.849998,98.760002,98.760002,0
2019-04-02,100.110001,102.699997,99.070000,101.709999,101.709999,0
2019-04-09,101.110001,104.139999,100.690002,101.750000,101.750000,0
2019-04-16,102.010002,103.809998,101.919998,102.059998,102.059998,0
2019-04-23,102.110001,103.879997,100.809998,103.070000,103.070000,0
2019-04-30,103.190002,104.690002,102.320000,104.070000,104.070000,0
2019-05-07,104.070000,104.070000,98.410004,98.970001,98.970001,0
2019-05-14,98.970001,100.699997,97.099998,97.889999,97.889999,0
2019-05-21,98.489998,100.120003,96.540001,98.879997,98.879997,0
2019-05-28,99.309998,99.440002,95.019997,95.510002,95.510002,0
2019-06-04,96.690002,102.330002,96.690002,101.230003,101.230003,0
2019-06-11,101.320000,104.720001,101.089996,102.050003,102.050003,0
2019-06-18,102.050003,104.339996,100.900002,101.080002,101.080002,0
2019-06-25,101.080002,103.870003,99.820000,103.029999,103.029999,0
2019-07-02,103.029999,106.360001,102.220001,106.029999,106.029999,0
2019-07-09,105.989998,107.470001,104.480003,106.510002,106.510002,0
2019-07-16,106.510002,109.139999,106.120003,106.709999,106.709999,0
2019-07-23,106.930000,110.070000,104.870003,105.620003,105.620003,0
2019-07-30,105.620003,105.620003,96.919998,98.160004,98.160004,0
2019-08-06,98.519997,102.629997,96.529999,97.000000,97.000000,0
2019-08-13,96.949997,98.400002,91.800003,95.000000,95.000000,0
2019-08-20,94.940002,94.940002,90.480003,90.769997,90.769997,0
2019-08-27,91.089996,93.940002,89.370003,92.889999,92.889999,0
2019-09-03,92.580002,96.800003,91.029999,96.669998,96.669998,0
2019-09-10,96.699997,102.019997,96.610001,98.680000,98.680000,0
2019-09-17,97.959999,99.699997,96.940002,97.580002,97.580002,0
2019-09-24,97.940002,101.139999,96.599998,99.480003,99.480003,0
2019-10-01,99.480003,100.910004,94.529999,98.410004,98.410004,0
2019-10-08,98.290001,102.330002,97.809998,101.269997,101.269997,0
2019-10-15,101.449997,105.370003,101.080002,104.940002,104.940002,0
2019-10-22,104.889999,108.589996,104.080002,108.239998,108.239998,0
2019-10-29,108.180000,110.180000,106.400002,110.050003,110.050003,0
2019-11-05,110.550003,112.150002,109.839996,110.760002,110.760002,0
